YEAR,MONTH,DAY,MOPED
2015,9,13,77
2015,9,20,73
2015,9,27,70
2015,10,4,68
2015,10,11,71
2015,10,18,66
2015,10,25,59
2015,11,1,58
2015,11,8,51
2015,11,15,48
2015,11,22,46
2015,11,29,41
2015,12,6,41
2015,12,13,40
2015,12,20,45
2015,12,27,42
